Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/Sec,Sent KB/Sec,Avg. Bytes
https://www.demoblaze.com/index.html,2000,524,79,20032,1076.394949,0.75%,7.0,1504.7,17.5,219562.5
https://www.demoblaze.com/config.json,2500,125,80,4744,144.5432204,0.00%,8.9,1.9,4.0,214.3
https://api.demoblaze.com/entries,2000,456,303,3756,218.4990609,0.00%,7.1,20.3,2.5,2931.0
https://hls.demoblaze.com/index.m3u8,2500,60,15,2187,78.21576061,0.00%,8.9,4.0,3.5,466.5
https://hls.demoblaze.com/about_demo_hls_600k.m3u8,2500,38,14,630,28.5960403,0.00%,8.9,12.4,3.7,1426.6
https://hls.demoblaze.com/about_demo_hls_600k00000.ts,2500,94,16,5598,199.2994467,0.00%,8.9,943.1,3.7,108804.8
Load Website URL,500,2946,1701,21493,1870.557859,3.00%,2.0,2832.8,20.7,1429098.1
https://api.demoblaze.com/login,500,444,313,4234,285.5311321,0.00%,2.1,0.5,0.9,252.0
https://api.demoblaze.com/check,1500,402,294,3602,229.7354521,0.00%,5.5,1.6,2.4,304.0
Enter credentials and click on Log in,500,1680,1218,5520,554.6376559,0.00%,2.0,13.8,7.4,6911.0
https://api.demoblaze.com/bycat,500,426,306,3565,257.9634662,0.00%,2.1,1.5,0.9,766.0
Click on Monitors,500,426,306,3565,257.9634662,0.00%,2.1,1.5,0.9,766.0
https://www.demoblaze.com/prod.html?idp_=10,500,870,416,10850,613.4932533,1.60%,2.1,74.3,14.7,36967.6
https://api.demoblaze.com/view,500,417,293,3493,286.510768,0.00%,2.1,1.3,0.8,626.0
Click on first result,500,1942,1181,12009,758.9768278,1.60%,1.9,73.9,18.8,38861.0
https://api.demoblaze.com/addtocart,500,419,311,2470,146.9848628,0.00%,2.1,0.4,1.0,197.0
Click on Add to cart,500,419,311,2470,146.9848628,0.00%,2.1,0.4,1.0,197.0
Click on Home,500,1157,848,6372,428.2336182,0.00%,2.0,8.4,5.9,4363.6
Click on Log out,500,728,529,1997,191.3429645,0.00%,2.0,7.9,5.1,4059.5
TOTAL,21500,432,14,21493,749.4579799,0.21%,75.3,5076.9,104.9,69035.2
